Ticker,Nome Asset,Prezzo ($),RSI 14,Stato RSI,SMA 40 ($),Trend SMA 40,SMA 200 ($),Trend SMA 200,Posizione Medie
MTBLY,Moatable Inc-ADR,0.54,72.97,Ipercomprato (RSI ≥ 70) 🔴,0.61,In Declino 🔴,1.45,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
PRVA,"Privia Health Group, Inc",20.49,25.23,Ipervenduto (RSI ≤ 30) 🟢,23.27,In Declino 🔴,22.88,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
BTU,Peabody Energy Corp,29.69,71.45,Ipercomprato (RSI ≥ 70) 🔴,25.76,In Crescita 🟢,25.18,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
AMR,"Alpha Metallurgical Resources, Inc",235.7,86.36,Ipercomprato (RSI ≥ 70) 🔴,176.88,In Crescita 🟢,176.76,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
CNR,Core Natural Resources Inc,102.3,71.83,Ipercomprato (RSI ≥ 70) 🔴,89.45,In Crescita 🟢,88.52,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
AMX,"America Movil, S.A.B. de C.V.-ADR",23.04,29.69,Ipervenduto (RSI ≤ 30) 🟢,24.86,In Declino 🔴,21.88,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
RL,Ralph Lauren Corp,346.9,29.41,Ipervenduto (RSI ≤ 30) 🟢,376.25,In Declino 🔴,328.87,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
TRIP,TripAdvisor Inc,9.52,29.27,Ipervenduto (RSI ≤ 30) 🟢,11.89,In Declino 🔴,13.29,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
ANF,Abercrombie & Fitch Company,143.08,71.66,Ipercomprato (RSI ≥ 70) 🔴,101.58,In Crescita 🟢,98.38,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
WIX,Wix.com Ltd ,88.25,71.62,Ipercomprato (RSI ≥ 70) 🔴,66.07,In Crescita 🟢,107.97,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
ACB,Aurora Cannabis Inc,4.05,75.02,Ipercomprato (RSI ≥ 70) 🔴,3.32,In Crescita 🟢,4.04,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
CXM,Sprinklr Inc,8.21,81.15,Ipercomprato (RSI ≥ 70) 🔴,6.28,In Crescita 🟢,6.87,In Crescita 🟢,SMA 40 SOTTO SMA 200 🔴
SAP.DE,SAP SE,191.32,70.09,Ipercomprato (RSI ≥ 70) 🔴,161.29,In Crescita 🟢,191.68,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
DB1.DE,Deutsche Boerse AG,291.2,76.36,Ipercomprato (RSI ≥ 70) 🔴,261.51,In Crescita 🟢,244.6,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
SDF.DE,K+S Aktiengesellschaft,16.33,71.01,Ipercomprato (RSI ≥ 70) 🔴,14.64,In Crescita 🟢,13.73,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
EN.PA,Bouygues SA,44.08,27.97,Ipervenduto (RSI ≤ 30) 🟢,48.02,In Declino 🔴,43.44,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
UL.PA,Unibail Rodamco,98.96,27.16,Ipervenduto (RSI ≤ 30) 🟢,101.87,In Declino 🔴,92.42,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
ACS.MC,ACS,103.4,25.95,Ipervenduto (RSI ≤ 30) 🟢,114.0,In Declino 🔴,90.75,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
FER.MC,Ferrovial NV,50.72,23.44,Ipervenduto (RSI ≤ 30) 🟢,56.55,In Declino 🔴,52.53,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
IBIT,iShares Bitcoin Trust,44.67,72.89,Ipercomprato (RSI ≥ 70) 🔴,39.15,In Crescita 🟢,46.59,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
ARKB,ARK 21Shares Bitcoin ETF,26.17,73.18,Ipercomprato (RSI ≥ 70) 🔴,22.92,In Crescita 🟢,27.27,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
SRLN,SPDR Blackstone Senior Loan ETF,40.8,72.63,Ipercomprato (RSI ≥ 70) 🔴,40.46,In Crescita 🟢,40.88,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
PSKY,Paramount Skydance Corp,10.91,73.71,Ipercomprato (RSI ≥ 70) 🔴,9.93,In Crescita 🟢,11.46,In Declino 🔴,SMA 40 SOTTO SMA 200 🔴
PSX,Phillips 66,246.58,71.74,Ipercomprato (RSI ≥ 70) 🔴,202.87,In Crescita 🟢,158.44,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
VLO,Valero Energy Corp,358.92,70.66,Ipercomprato (RSI ≥ 70) 🔴,293.7,In Crescita 🟢,209.86,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
MPC,Marathon Petroleum Corporation,373.32,72.75,Ipercomprato (RSI ≥ 70) 🔴,299.59,In Crescita 🟢,219.58,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
PAGP,Plains GP Holdings LP,28.22,72.58,Ipercomprato (RSI ≥ 70) 🔴,25.28,In Crescita 🟢,21.86,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
TJX,TJX Companies Inc,133.91,21.64,Ipervenduto (RSI ≤ 30) 🟢,152.58,In Declino 🔴,144.88,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
MAN,ManpowerGroup Inc,62.95,75.21,Ipercomprato (RSI ≥ 70) 🔴,46.68,In Crescita 🟢,41.74,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
CMI,Cummins Inc (Ex. Cummins Engine Inc),564.4,29.15,Ipervenduto (RSI ≤ 30) 🟢,632.26,In Declino 🔴,519.67,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
LUV,Southwest Airlines Co,38.53,27.27,Ipervenduto (RSI ≤ 30) 🟢,44.18,In Declino 🔴,39.06,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
SO,Southern Co,88.0,29.13,Ipervenduto (RSI ≤ 30) 🟢,93.19,In Declino 🔴,91.98,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
PCG,PG&E Corp,13.27,22.03,Ipervenduto (RSI ≤ 30) 🟢,17.18,In Declino 🔴,16.94,In Declino 🔴,SMA 40 SOPRA SMA 200 🟢
L,Loews Corp,108.29,29.79,Ipervenduto (RSI ≤ 30) 🟢,111.7,In Declino 🔴,102.08,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
EIX,Edison International,53.98,22.06,Ipervenduto (RSI ≤ 30) 🟢,72.23,In Declino 🔴,67.24,In Crescita 🟢,SMA 40 SOPRA SMA 200 🟢
